Brand,Model_Name,Type,Recommended_Strike,Heel_Drop_mm,Weight_g,Biomechanical_Features
Saucony,Tempus,안정화,전체,8,252,PWRRUN PB(Pebax) 코어를 PWRRUN 프레임이 감싸는 구조로 전통적 미디얼 포스트 대신 컨투어드 프레임과 넓은 전족 베이스로 안정성을 구현합니다.
Saucony,Guide 17,안정화,전체,6,269,PWRRUN 미드솔과 PWRRUN+ 소켓라이너의 중등도 안정화 모델로 미디얼 포스트 없이 강화 미드솔 월과 Centerpath 가이던스로 안정성을 만듭니다.
Saucony,Omni 21,안정화,리어풋,8,317,공식 High Support 등급의 과내전 대응 안정화 트레이너로 미디얼 측 플라스틱 포스트 기반 포스티드 안정화 계열입니다.
New Balance,Fresh Foam X 880 v14,쿠션화,전체,8,251,EVA 기반 Fresh Foam X 단일 폼 미드솔의 중립 데일리 트레이너로 지지형 미드솔 사이드월과 다소 넓은 힐이 안정감을 보완합니다.
New Balance,Fresh Foam X Vongo v6,안정화,미드풋,6,312,Fresh Foam X 이중 밀도 미드솔 사이 EVA Film 플레이트로 종방향 강성을 확보한 안정화 모델로 과내전 완화용 서포티브 미디얼 존을 갖췄습니다.
New Balance,860 v14,안정화,리어풋,8,295,경도가 다른 두 층의 Fresh Foam X와 힐·미드풋 EVA Film 플레이트로 프로네이션 힘을 상쇄하는 마일드 안정화 모델입니다.
Adidas,Supernova Rise,쿠션화,리어풋,10,278,PEBA 기반 Dreamstrike+ 슈퍼폼 미드솔의 중립화로 EVA 캐리어 폼의 Support Rods와 큰 힐 베벨이 전환 안정성을 제공합니다.
Adidas,Ultraboost Light,쿠션화,리어풋,10,305,기존보다 경량화된 Light BOOST 풀렝스 미드솔의 중립화로 아치 하부 Torsion 플레이트와 넓은 전족 베이스가 구조를 담당합니다.
Adidas,Adistar CS 2,안정화,리어풋,6,363,REPETITOR/REPETITOR+ 이중 밀도 미드솔로 단단한 서포트 프레임이 힐과 미드풋을 감싸는 최대 안정화(모션 컨트롤 경계) 구조입니다.
Adidas,Supernova Solution,안정화,리어풋,10,279,PEBA 기반 Dreamstrike+ 폼에 더 단단한 EVA를 결합한 마일드 안정화로 이중 밀도 Stability Support Rods가 핵심입니다.
Adidas,Solarboost 5,안정화,리어풋,10,293,고밀도 Light BOOST 미드솔 기반 안정화로 힐을 감싸 미드풋까지 이어지는 Control Platform이 측면 움직임을 억제합니다.
Adidas,Adizero SL 2,쿠션화,전체,9,245,풀렝스 Lightstrike Pro와 EVA 기반 Lightstrike 2.0 캐리어 폼의 중립화로 플레이트나 보강 사이드월이 거의 없는 좁은 힐 구조입니다.
Puma,Velocity Nitro 3,쿠션화,전체,10,264,질소 주입 Nitro 슈퍼크리티컬 폼과 단단한 EVA 캐리어 폼의 듀얼 폼 구조로 PWRTAPE 아치 보강이 뉴트럴 지지를 제공합니다.
Puma,ForeverRun Nitro,안정화,리어풋,10,274,단단한 외부 Nitro 폼 섀시와 부드러운 내부 Nitro 폼의 이중 구조에 RunGuide 시스템(힐 사이드월·외부 힐카운터)으로 발을 중앙에 유지합니다.
Mizuno,Wave Rider 27,쿠션화,리어풋,12,279,TPE 계열 Mizuno Enerzy 폼 미드솔에 Pebax Wave Plate가 미드풋까지 삽입되어 안정성과 부드러운 전환을 제공합니다.
Mizuno,Wave Rider 28,쿠션화,리어풋,12,276,Enerzy 메인 폼과 Enerzy NXT 2차 폼을 조합하고 Pebax Rnew Wave Plate가 리어풋을 보강해 뉴트럴 안정성을 확보합니다.
Mizuno,Wave Inspire 20,안정화,리어풋,12,302,이중 Enerzy 폼에 식물성 Wave Plate를 아치 하부에 배치한 무포스트 안정화 설계로 SmoothRide 로커 지오메트리를 갖췄습니다.
Mizuno,Wave Horizon 7,안정화,전체,8,329,단단한 U4iC 하층과 부드러운 Enerzy 상층 사이 Enerzy Core를 끼운 구조로 Mizuno Rubber Wall이 미디얼 포스트 역할을 하는 초광폭 안정화 모델입니다.
On,Cloudrunner 2,안정화,전체,10,277,Helion 폼과 CloudTec 구조(힐 내측 클라우드 확대)로 압축을 조절하고 대형 리어풋 사이드월과 강성 힐카운터로 마일드 안정성을 제공합니다.
On,Cloudflyer 4,안정화,전체,11,308,Helion 폼에 액체 주입식 Speedboard 플레이트를 삽입해 비틀림을 억제하고 넓은 플랫폼과 로커 지오메트리로 안정된 전환을 만듭니다.
Altra,Torin 7,쿠션화,미드풋,0,255,슈퍼크리티컬급 Altra EGO Max 폼과 TPE 폼 라스팅 보드의 제로드롭 풋셰이프 구조로 전통적 안정화 장치 없이 중간 수준의 비틀림 강성을 유지합니다.
Altra,Provision 8,안정화,미드풋,0,273,EVA 기반 Altra EGO 폼에 힐 양측 높은 사이드월 형태의 GuideRail 시스템으로 발을 중앙에 유지하는 제로드롭 안정화 모델입니다.
Altra,Escalante 4,쿠션화,미드풋,0,269,EVA 계열 Altra EGO 폼의 다소 단단한 저스택 제로드롭 구조로 INNERFLEX 그루브와 FootPod 아웃솔이 자연스러운 미드풋 전환을 유도합니다.
Nike,Alphafly 3,쿠션화,미드풋|포어풋,8,198,"전장 ZoomX(Pebax) 폼에 전족부 Zoom Air 유닛을 감싼 구조이며, 두껍고 넓은 풀렝스 카본 플레이트가 삽입된다. 전족부 록커가 이전 세대보다 이른 시점에 시작되고 토스프링이 커서 미드풋·포어풋 착지에서 롤링이 가장 효율적이다."
Nike,Vaporfly 3,쿠션화,리어풋,8,184,"전장 ZoomX(Pebax) 폼과 스푼 형태의 카본 FlyPlate 조합으로 반발력을 만든다. 플레이트 전족부 곡률이 록커 역할을 해 스트라이드보다 케이던스를 높이는 방향으로 전환을 돕고, 스택이 높고 드롭이 커서 안정적인 리어풋 주자에게 권장된다."
Nike,Streakfly,쿠션화,미드풋|포어풋,6,171,"ZoomX 폼 미드솔에 카본 플레이트 없이 Pebax 미드풋 섕크만 넣은 레이싱 플랫형 구조다. 록커 지오메트리가 사실상 없고 힐 베벨·토스프링이 작아, 체중을 고르게 분산하는 미드풋~포어풋 착지에 더 잘 맞는다."
Nike,Pegasus Plus,쿠션화,리어풋,10,238,"전장 ZoomX 폼을 쓰지만 플레이트가 없는 경량 뉴트럴 트레이너다. 전족부는 전통적인 평평한 형태로 록커가 약하고, 대신 크고 중앙에 위치한 힐 베벨과 10mm의 높은 드롭이 리어풋 착지에 유리하다."
Nike,Invincible 3,쿠션화,리어풋,9,300,"40/31mm 스택의 전장 ZoomX 폼 맥스쿠션 트레이너로 플레이트나 로드는 없다. 약간 딱딱한 전족부 록커와 전장 러버 아웃솔이 푸시오프 전환을 매끄럽게 하며, 힐 베벨이 2세대보다 작아져 리어풋 주자에게 더 적합해졌다."
Nike,Infinity Run 4 (InfinityRN 4),쿠션화,리어풋,9,314,"39/30mm 스택의 ReactX 폼 단일 미드솔이며 플레이트나 로드는 사용하지 않는다. 큰 힐 베벨과 압축형 측면 힐 지오메트리(적응형 후외측 베벨), 완만한 전족부 록커·토스프링이 조합된 강한 록커 구조로, 리어풋 착지 시 초기 내측 움직임을 억제하는 안정형 뉴트럴 성격을 갖는다."
Adidas,Adizero Adios Pro 4,쿠션화,미드풋|포어풋,6,201,"39/33mm 스택의 전장 Lightstrike Pro(초임계 TPEE) 미드솔에 카본 인퓨즈드 Energy Rods 2.0 다섯 개가 발뼈 구조를 모사해 삽입된다. 전족부 중심의 이른 록커가 빠르게 전방 전환을 유도하고 후외측 힐 베벨이 있으나, 힐이 매우 좁아 미드풋·포어풋 착지에 최적화되어 있다."
Adidas,Adizero Adios Pro 3,쿠션화,미드풋,6.5,218,"Lightstrike Pro 폼을 두 겹으로 쌓은 미드솔에 전장 카본 ENERGYRODS 2.0이 들어간 안정적인 뉴트럴 레이서다. 토스프링이 강조된 전족부 록커와 후외측 힐 베벨, 내측 컷아웃이 전환을 돕지만 힐이 좁아 리어풋 주자에게는 권장되지 않는다."
Adidas,Adizero Prime X 2 Strung,쿠션화,전체,6.5,303,"50/43.5mm 초고스택 Lightstrike Pro 3중 구조(중간에 매우 부드러운 층)에 Energy Rods를 대신하는 카본 플레이트 2장이 들어가 전족부 굴곡이 전혀 없다. 거대한 힐·전족부 록커와 플레어된 힐 베벨이 약간 외측 편향된 롤링을 만들어, 리어풋과 미드풋 착지 모두를 받아준다."
Adidas,Adizero Evo SL,쿠션화,미드풋|포어풋,6.5,230,"37/30.5mm 스택의 100% Lightstrike Pro 미드솔에 카본 플레이트 없이 나일론 계열 미드풋 섕크만 넣었다. 록커 시작점이 Adios Pro 3의 70%에서 60%로 앞당겨져 완만하고 이른 전족부 록커를 만들고 힐 커브는 미세해, 미드풋~포어풋 착지에서 가장 잘 굴러간다."
Adidas,Adizero Boston 12,쿠션화,미드풋|포어풋,6.5,267,"힐의 Lightstrike 2.0과 전족부 비중이 커진 Lightstrike Pro의 2중 폼 구조에 전장 Energy Rods 2.0(측면 미드풋 확장 포함)이 들어간 퍼포먼스 트레이너다. 큰 후외측 힐 베벨과 큰 전족부 록커가 착지를 빠르게 미드풋·포어풋으로 넘겨, 낮은 드롭과 함께 미드풋~포어풋 주자에게 유리하다."
Adidas,Adizero Takumi Sen 10,쿠션화,미드풋|포어풋,6,198,"33/27mm 스택의 Lightstrike Pro(TPEE) 2중 폼에 카본 플레이트 대신 유리섬유 Energy Rods 2.0(측면 미드풋 확장)이 삽입된 단거리 레이싱 플랫이다. 토록커가 매우 미세해 클래식하고 자연스러운 라이드를 주며, 힐이 좁아 리어풋 착지에는 부적합하고 미드풋·포어풋 착지용 아웃솔 설계를 갖는다."
Asics,Metaspeed Sky Paris,쿠션화,미드풋,5,183,FF Turbo+(초임계 PEBA) 2층 미드솔에 곡률이 거의 없는 평평한 풀렝스 카본 플레이트를 삽입했다. 레이트 스테이지 전족 로커 구조로 스트라이드를 늘려 앞쪽으로 착지·가속하는 러너에게 최적화되어 있다.
Asics,Metaspeed Edge Paris,쿠션화,미드풋,5,185,"FF Turbo+ PEBA 미드솔에 힐에서 전족으로 내려가며 낮게 배치된 카본 플레이트를 넣어 '롤링/케이던스' 반응을 만든다. 전족 로커가 이르게 시작되고 힐 베벨이 잘 다듬어져, 케이던스로 속도를 올리는 미드풋 팝앤롤 착지에 맞는다."
Asics,Magic Speed 4,쿠션화,미드풋|포어풋,8,242,"풀렝스 FF Blast+ 미드솔에 미드풋~전족부 FF Turbo 인서트를 더하고, 매우 단단한 풀렝스 카본 플레이트를 넣었다. 완만한 힐 베벨과 큰 전족 로커(메타 로커)가 결합되어 미드풋·전족 착지의 빠른 전환을 돕는다."
Asics,Superblast 2,쿠션화,전체,8,249,"상부 FF Turbo+(PEBA) + 하부 FF Blast+ ECO(EVA) 2층 미드솔이며 플레이트는 없고 폼 자체의 강성으로 반발을 만든다. 큰 힐 베벨과 다소 늦은 전족 로커, 넓은 솔 플레어로 리어풋·미드풋 모두 안정적인 전환을 제공한다."
Asics,Gel-Nimbus 26,쿠션화,리어풋,8,303,FF Blast+ ECO(EVA·올레핀 블렌드) 맥시멀 미드솔에 힐 PureGel 인서트를 배치했고 플레이트는 없다. 크게 깎인 로커형 힐 베벨과 긴 전족 로커로 후방 착지 러너에게 부드러운 전환을 준다.
New Balance,FuelCell SC Elite v4,쿠션화,전체,4,230,100% PEBA 기반 FuelCell 미드솔에 여러 곡률을 가진 풀렝스 Energy ARC 카본 플레이트를 넣었다. 초기 단계 전족 로커와 미디얼 방향 힐 베벨로 힐 스트라이커와 전족 스트라이커 모두 전방 추진을 얻는다.
New Balance,FuelCell SC Trainer v3,쿠션화,미드풋,6,278,PEBA 20%/EVA 80% 블렌드 FuelCell 미드솔에 오목한 형태의 풀렝스 Energy Arc 카본 플레이트와 미드솔 오픈 채널을 결합했다. 토스프링은 줄었지만 전족 로커와 큰 힐 베벨이 남아 미드풋 착지에 잘 맞는 지오메트리다.
New Balance,FuelCell SC Pacer v2,쿠션화,미드풋,8,209,100% PEBA FuelCell 미드솔에 Elite v4와 동일한 스푼형 Energy ARC 풀렝스 카본 플레이트를 샌드위치했다. 크고 이른 전족 로커와 뚜렷한 토스프링으로 전족 유연성이 없으며 미드풋 착지에 최적화되어 있다.
New Balance,FuelCell Rebel v4,쿠션화,미드풋|포어풋,6,210,"PEBA 블렌드 FuelCell 미드솔을 쓰며 카본·나일론 플레이트가 전혀 없는 무플레이트 레이서다. 힐과 전족 모두 곡선형(이른 전족 로커)이라 미드풋·전족 착지에서 추진력이 좋고, 힐 스트라이커는 뒤쪽에 가라앉을 수 있다."
New Balance,Fresh Foam X 1080 v14,쿠션화,전체,6,285,"EVA 기반 Fresh Foam X 단일 미드솔로 플레이트는 없다. 후외측 힐 베벨과 다소 늦은 전족 로커가 완만하게 이어지는 힐-투-토 로커 지오메트리로, 힐 착지와 미드풋 착지 모두 매끄럽게 전환된다."
New Balance,Fresh Foam X More v5,쿠션화,전체,4,312,초맥시멀 Fresh Foam X(EVA) 미드솔이며 플레이트는 없지만 폼 두께 자체가 강성을 만든다. 둥근 힐 베벨과 완만한 전족 로커의 조합으로 모든 착지 유형에서 부드럽게 굴러가는 느낌을 준다.
Hoka,Cielo X1,쿠션화,미드풋|포어풋,7,257,"이중 밀도 PEBA 미드솔에 중앙 컷아웃과 날개(winged) 형태의 스푼형 카본 플레이트를 삽입했습니다. 힐 커브가 매우 강한 공격적 로커 구조로 중족~전족에서 착지할 때 가장 안정적이고 반발이 좋으며, 뒤꿈치 착지 시에는 이점이 줄어듭니다."
Hoka,Rocket X 2,쿠션화,전체,5,212,"두 개의 PEBA 폼 층 사이에 Hoka C004 카본 플레이트(전방이 스푼형·포크형)를 넣은 ProFly X 구성입니다. 균형 잡힌 로커와 중앙형 힐 베벨, 디커플링 그루브 덕분에 특정 착지 패턴을 강요하지 않고 힐 스트라이크에도 대응합니다."
Hoka,Mach X 2,쿠션화,전체,5,241,"상단 PEBA + 하단 압축 EVA 캐리어의 이중 폼에, 안정용 윙렛이 추가된 Pebax(플라스틱) 플레이트를 사용합니다. Hoka의 Early Stage Meta-Rocker로 로커가 이르게 시작하며 큰 힐 베벨과 이른 전족 로커가 전환을 매끄럽게 만듭니다."
Hoka,Skyward X,쿠션화,리어풋,5,303,"상단 PEBA와 하단 초임계 EVA 사이에 H자형(볼록) 풀렝스 카본 플레이트를 배치했고, 미드풋에서는 카본 '래더'가 프로네이션을 지지합니다. 랩 테스트 기준 가장 로커가 강한 신발 중 하나로, 46mm 힐 스택과 100mm대 힐 폭이 뒤꿈치 착지 러너에게 넓은 착지 면을 제공합니다."
Hoka,Bondi 8,쿠션화,미드풋,4,329,"압축 성형 EVA 폼 단일 미드솔로 플레이트가 없습니다. 큰 힐 베벨과 높은 토 스프링을 가진 로커 프로파일이 굴러가는 전환을 만들며, 전족부는 거의 굽혀지지 않아 중족·전족 착지에서 특히 매끄럽습니다."
Saucony,Endorphin Elite,쿠션화,미드풋,8,204,"PWRRUN HG 미드솔(인솔은 PWRRUN PB)에 전족부가 포크처럼 갈라진 카본 플레이트를 결합했습니다. 큰 힐 베벨과 매우 공격적인 전족 로커로 앞으로 넘어가듯 굴러가며, 미드풋 착지·빠른 페이스에 최적화되어 뒤꿈치 착지에는 상대적으로 불리합니다."
Saucony,Endorphin Pro 4,쿠션화,전체,8,220,"PWRRUN PB 캐리어와 PWRRUN HG 코어의 이중 밀도 미드솔 사이에 S자형 카본 플레이트를 넣었습니다. Speedroll 지오메트리 기반의 다소 완만한 전족 로커와 잘 설계된 후외측 힐 베벨을 갖춰, 매체별로 힐 스트라이커와 중·전족 스트라이커 모두에게 권장이 갈립니다."
Saucony,Endorphin Speed 4,쿠션화,전체,8,237,PEBA 계열 PWRRUN PB 폼에 좌우로 날개가 뻗은 풀렝스 나일론 윙 플레이트를 넣어 비틀림 강성을 높였습니다. 크고 중앙에 위치한 힐 베벨과 적당한 전족 로커(Speedroll)로 과하게 로커하지 않아 다양한 착지 패턴과 페이스에 폭넓게 대응합니다.
Saucony,Triumph 22,쿠션화,리어풋,10,297,"플레이트 없이 풀렝스 PWRRUN PB(초임계 PEBA 블렌드) 폼만 사용하며, 데일리 트레이닝용으로 더 단단하고 내구성 있게 배합했습니다. 크고 중앙에 놓인 힐 베벨과 다소 늦은 전족 로커 조합으로 10mm 드롭과 함께 뒤꿈치 착지 전환에 유리합니다."
Saucony,Hurricane 24,안정화,미드풋,6,302,"플레이트 없이 PWRRUN PB 코어를 지지력 높은 PWRRUN 프레임이 감싸는 구조로 안정성을 확보했습니다. 넓은 플랫폼·높은 사이드월·비대칭 Center Path 지오메트리에 이른(또는 늦은) 전족 로커와 뚜렷한 힐 베벨이 결합되어, 힐~미드풋~전족 전 구간을 가이드하되 중족 착지에서 특히 잘 맞습니다."
Puma,Fast-R Nitro Elite 2,쿠션화,미드풋|포어풋,8,240,"알리파틱 TPU 기반 NITROFOAM ELITE를 힐/전족 두 블록으로 분리하고, 이를 잇는 풀렝스 카본 PWRPLATE가 토 박스 앞으로 돌출됩니다. 미드풋에 폼이 없고 로커 지점이 앞으로 밀려 있어 전족 착지와 강한 전족 푸시오프를 요구하며 뒤꿈치 착지에는 적합하지 않습니다."
Puma,Deviate Nitro Elite 3,쿠션화,미드풋,8,194,"PEBA 대신 알리파틱 TPU(A-TPU)로 바뀐 Nitro Elite 폼 사이에 바텀 로드된 카본 PWRPLATE를 넣어 비틀림 강성을 극대화했습니다. 과장되지 않은 완만한 전족 로커에 분할형(스플릿) 힐과 후외측 베벨을 갖췄으나, 좁은 힐 때문에 뒤꿈치 착지 러너에게는 불안정할 수 있습니다."
Puma,Deviate Nitro 3,쿠션화,리어풋,10,265,상단 Nitro Elite / 하단 Nitro의 이중 폼 사이에 완만한 곡률의 세미 플렉시블 카본 PWRPLATE를 배치했습니다. 로커는 절제된 편이지만 이른 전족 로커와 큰 힐 베벨·측면 솔 플레어가 있어 10mm 드롭과 함께 뒤꿈치 착지 러너(특히 체중이 있는 러너)에게 잘 맞습니다.
Puma,Magnify Nitro 2,쿠션화,리어풋,10,286,"질소 주입 초임계 TPEE 계열 NITRO 폼을 전 구간에 단일 밀도로 사용하며 플레이트는 없습니다. 현행 로커 트렌드와 달리 전통적 구조로 힐이 중앙에서 둥글게 처리되고 토 스프링이 매우 낮아, 높은 스택·10mm 드롭과 함께 뒤꿈치 착지 러너에게 특히 유리합니다."
On,Cloudboom Strike,쿠션화,미드풋|포어풋,4,215,"Pebax 계열 초임계 발포 Helion HF 폼에 풀렝스 카본 플레이트(카본 스피드보드)가 중족부에서 전족부로 스푼형 곡선을 그리며 삽입된다. 록커는 다른 슈퍼슈즈보다 완만해 게이트 후반에 굴러가며, 미드풋·전족부 착지에 최적화되고 힐 스트라이커에게는 적합도가 낮다."
On,Cloudboom Echo 3,쿠션화,리어풋,9,217,"Pebax 기반 Helion HF 폼을 2개 층으로 쌓고 풀렝스 카본 플레이트를 스푼형으로 배치했다. 전족부 록커가 늦고 급격하게 작동하는 강성 라이드이며, 9~10mm의 높은 드롭이 리어풋 착지 러너에게 유리하다."
On,Cloudmonster Hyper,쿠션화,미드풋|포어풋,6,272,"전족부에 Pebax 계열 Helion HF, 후족부에 EVA+OBC 기반 Helion/CloudTec을 쓴 듀얼 폼 구성이며 스피드보드 플레이트는 제거됐다. 힐은 평평하고 베벨이 작은 대신 전족부 토스프링이 강해 미드풋·전족부 착지에서 부드럽게 굴러간다."
On,Cloudeclipse,쿠션화,리어풋,6,285,EVA+OBC 혼합 Helion 폼에 X자형 TPU 스피드보드 플레이트와 중족부 섕크를 결합했다. CloudTec Phase의 각진 클라우드가 순차적으로 붕괴하며 스플릿 힐과 후측방 베벨이 리어풋 전환을 매우 매끄럽게 만든다.
On,Cloudsurfer,쿠션화,전체,10,245,EVA 기반 폼과 CloudTec Phase 구조를 사용하며 스피드보드 플레이트가 완전히 제거되어 유연한 라이드를 제공한다. 큰 힐 베벨과 뚜렷한 토스프링의 록커 지오메트리로 착지 위치를 가리지 않는 롤링 전환을 만든다(플레이트·폼 명칭은 미표기).
Brooks,Hyperion Elite 4,쿠션화,리어풋,8,220,질소 주입 DNA Flash v2 폼에 컷아웃이 있는 스푼형 풀렝스 카본 플레이트(Arris SpeedVault Race+)를 넣어 사이즈별로 강성을 조절한다. 이른 단계 록커와 뒤쪽에서 시작되는 완만한 힐 베벨로 리어풋 착지 마라토너에게 특히 적합하다.
Brooks,Hyperion Max 2,쿠션화,미드풋|포어풋,6,262,DNA Flash v2 폼에 속도보다 안정성을 노린 평평한 풀렝스 나일론 스피드볼트 플레이트를 조합했다. 전족부 토스프링이 뚜렷하고 힐에는 약한 후기 단계 록커가 있어 미드풋·전족부 착지에서 강점을 보인다.
Brooks,Glycerin 21,쿠션화,리어풋,10,278,"초임계 질소 주입 EVA인 DNA Loft v3를 풀렝스로 사용하고 플레이트는 없다. 록커가 없는 클래식한 형태로 유연하고 자연스러운 라이드를 주며, 10mm 드롭이 리어풋 착지에 유리하다."
Brooks,Glycerin GTS 21,안정화,리어풋,10,303,"풀렝스 DNA Loft v3(질소 주입 EVA)에 중족부 내측·힐 외측 GuideRails와 사이드월이 결합된 중등도 안정화 구조다. 록커는 거의 없는 자연스러운 형태이며, 강성이 높은 후족부·중족부가 리어풋 착지 시 과도한 움직임을 제어한다."
Brooks,Ghost Max 2,쿠션화,미드풋|포어풋,6,305,초임계 질소 주입 EVA인 DNA Loft v3를 사용한 무(無)플레이트 맥스쿠션화다. GlideRoll Rocker의 표준 전족부 록커가 작동하지만 스택 대비 힐 베벨이 작아 미드풋·전족부 착지에 더 잘 맞는다.
Mizuno,Wave Rebellion Pro 2,쿠션화,미드풋,2.5,209,상부 Enerzy Lite+(PEBA)와 하부 Enerzy Lite(TPE) 사이에 카본 인퓨즈드 나일론 Wave 플레이트를 끼운 구조다. 규정 스택에 맞춘 과장된 힐 베벨과 큰 전족부 록커가 전방 추진을 만들어 미드풋 착지에 최적이며 리어풋·전족부 착지에는 부적합하다.
